I went on a successful date with someone I felt sympathy and connection with.,affection
I was happy when my son got 90% marks in his examination,affection
I went with grandchildren to butterfly display at Crohn Conservatory,affection
I got gift from my elder brother which was really surprising me,affection
Watching cupcake wars with my three teen children,affection
My son performed very well for a test preparation.,affection
My grandmother start to walk from the bed after a long time.,affection
After a long time my brother gave a suprise visit to my house yesterday.,affection
I went to the movies with my sister today for the first time since a long time.,affection
"My son woke me up to a fantastic breakfast of eggs, his special hamburger patty and pancakes.",affection
I was shorting Gold and made $200 from the trade.,achievement
"I made a new recipe for peasant bread, and it came out spectacular!",achievement
Managed to get the final trophy in a game I was playing.,achievement
Got A in class.,achievement
The cake I made today came out amazing. It tasted amazing as well.,achievement
I consumed a well garnished bowl of ramen twice today. It was so delicious.,achievement
i was able to hit a top spin serve in tennis,achievement
I received an award for my work on a tough loan process that I helped develop.,achievement
I made a bunch of extra sales in my side business last night.,achievement
I achieved my daily income goal.,achievement
